songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
4AA8WO12TxwDHj2besjWcx,Luna Llena,Malu Trevejo,65,0.71,0.795,4,-6.026,0.0786,0.0447,3e-06,0.361,0.643,100.092,4,Top Lists
29w2eN6ZMRZ50t4Eh7iRGy,Bns,Standing On The Corner,41,0.436,0.585,5,-8.871,0.0516,0.505,0.000587,0.491,0.236,99.661,4,Top Lists
7fyx7nBQTEtYrfXc0UgUYs,Hello There,Dillon Francis,53,0.798,0.72,2,-6.368,0.0672,0.0205,0.0,0.0666,0.451,114.028,4,Top Lists
6FmswdEnn2WK6T8GV5fFKS,Thinking ‘Bout You (Sleepless In Cairo),Sufyvn,60,0.604,0.557,6,-9.0,0.124,0.488,2.6e-05,0.0917,0.512,137.962,4,Top Lists
6caDnpIOivsjLRXqlJJxCD,Legends,Kelsea Ballerini,75,0.603,0.644,4,-6.447,0.0322,0.0886,0.0,0.0905,0.214,112.047,4,Top Lists
7zOoHxDt1duHL8czY7o7ab,Dear Hate,Maren Morris,72,0.526,0.412,9,-9.292,0.0385,0.804,0.0,0.117,0.289,79.732,4,Top Lists
3BgvCj5oUc8jpL8YCB9y8S,Pray,Sam Smith,80,0.463,0.388,7,-9.367,0.0437,0.282,3e-06,0.0866,0.166,77.415,5,Top Lists
6FsX9z6NX1A71BBd9Fjsfw,Song For You (feat. Innanet James),Kallitechnis,43,0.767,0.796,1,-6.745,0.161,0.414,0.0,0.83,0.784,117.981,4,Top Lists
2kt06ZsD735FYBZO8yAAQs,Hello Ego,Jhene Aiko,70,0.692,0.463,0,-9.506,0.0928,0.147,0.0,0.22,0.416,119.851,4,Top Lists
0TiyDTDc569zUUa9wyiRD7,What Guy Wouldnt,Waterloo Revival,60,0.543,0.836,6,-5.477,0.055,0.00909,0.0,0.162,0.656,120.071,4,Top Lists
4yN6xPLopmTLvc27pO9LIE,Si Tú La Ves,Nicky Jam,87,0.685,0.731,5,-5.119,0.093,0.204,0.0,0.0722,0.776,177.912,4,Top Lists
7rdK9NSJIRBZAiXC0vuBS9,Id Be Jealous Too,Dustin Lynch,73,0.716,0.718,0,-5.355,0.0293,0.0896,0.0,0.473,0.537,100.934,4,Top Lists
53fUkhzh2EodCV8cfcxLQ8,So Tied Up - moreBishop,Cold War Kids,19,0.603,0.912,0,-4.159,0.0462,0.0568,0.00113,0.122,0.809,105.021,4,Top Lists
5XeSiH1cHcz1Lqzxj4qk5P,SUBEME LA RADIO REMIX,Enrique Iglesias,75,0.681,0.815,0,-3.851,0.0904,0.0338,0.0,0.0679,0.631,91.006,4,Top Lists
2VMaZ8BBb8Fg4sQMrJbKzM,Want More,Rotimi,60,0.668,0.519,1,-6.933,0.174,0.086,0.0,0.0953,0.38,102.716,4,Top Lists
6rQSrBHf7HlZjtcMZ4S4bO,Safari,J Balvin,79,0.508,0.687,0,-4.361,0.326,0.551,3e-06,0.126,0.565,180.044,4,Top Lists
6q2cJXwzu89N8okT69L7KC,One More Time,TWICE,27,0.74,0.928,7,-4.139,0.0633,0.00288,0.0,0.319,0.671,129.955,4,Top Lists
79I1s6rpI6QnDoi85QGNDE,Nothin Like Us,Josh Gracin,73,0.527,0.856,10,-4.239,0.0629,0.00379,0.0,0.13,0.572,74.972,4,Top Lists
0apvzeJcPw9mB7iSQIBal5,The Come Down Is Real Too,Belly,60,0.711,0.688,0,-5.859,0.343,0.364,0.0175,0.109,0.619,166.082,4,Top Lists
3VupwwmeklG7tv2ELOJO8r,The Rest of Our Life,Tim McGraw,67,0.617,0.468,2,-6.908,0.0291,0.65,0.0,0.141,0.333,119.921,3,Top Lists
2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,Taylor Swift,92,0.767,0.671,9,-6.416,0.142,0.21,1.1e-05,0.129,0.474,128.072,4,Top Lists
2Xqd0wUttjueBfdcltADOv,No Limit,G-Eazy,84,0.837,0.791,1,-3.824,0.251,0.0199,0.0,0.0836,0.379,176.003,4,Top Lists
3svPtpK6BN6S4PGTFWfkUC,Mother (Dont Cry),Ella Vos,19,0.748,0.422,8,-4.24,0.0296,0.0719,6e-05,0.0598,0.333,102.931,4,Top Lists
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,89,0.643,0.783,10,-6.458,0.0856,0.047,0.0,0.083,0.566,154.084,4,Top Lists
2nxuWp65pVoQdayvGS62DK,No Looking Back,Rojo,42,0.65,0.619,1,-10.981,0.51,0.186,0.0,0.341,0.765,130.822,4,Top Lists
2JLgso99OQ8W0s1BzPy3Kg,Life Is Good,A Great Big World,19,0.8,0.799,5,-5.567,0.0404,0.0323,3e-06,0.0329,0.895,132.956,4,Top Lists
7mFNmurtskRmkxR01mYPfx,Be with Me,Old Dominion,71,0.657,0.862,8,-5.048,0.0275,0.52,0.0,0.152,0.852,104.031,4,Top Lists
6ppDvLfqpNsoi1Gv10hr9F,Sunburn,DROELOE,60,0.694,0.726,0,-7.297,0.0322,0.12,0.00258,0.215,0.451,105.968,4,Top Lists
4moZ8avSDXYdJhMYwL60kW,Holy Mountain,Noel Gallaghers High Flying Birds,48,0.431,0.975,1,-3.978,0.0429,6e-06,0.667,0.552,0.715,137.013,4,Top Lists
0luqG2fhUz17ncifrWqrut,Real Thing (feat. Future),Tory Lanez,0,0.668,0.503,7,-8.196,0.365,0.0075,0.0,0.441,0.333,160.054,4,Top Lists
4NTIWwK8JkTHV5tgR8IqtZ,We Cant Give Up,EDX,63,0.799,0.772,8,-4.625,0.063,0.32,0.00474,0.167,0.411,122.989,4,Top Lists
5jddjli3YTIxueb3xFdLaA,Down To The Bottom,Dorothy,56,0.608,0.6,11,-5.459,0.0266,0.018,0.0,0.273,0.535,87.465,4,Top Lists
2n5ZD87XQ2yvIxGjoYbUmZ,Ill Name the Dogs,Blake Shelton,76,0.47,0.852,4,-5.874,0.0933,0.163,2e-06,0.281,0.773,168.063,4,Top Lists
1VJDlh3f9uathid42A8VUi,On Me,Quality Control,56,0.924,0.635,0,-4.565,0.197,0.0984,0.0,0.203,0.771,134.946,4,Top Lists
0BzIw053LdsgAu8Sb1baIn,Sunday Morning,Parmalee,45,0.584,0.716,0,-4.737,0.0342,0.00733,0.0,0.0879,0.527,90.005,4,Top Lists
7BBw0LDVfBQv2atMpzx0VN,Choir 1.0,Purple Haze,46,0.699,0.812,7,-3.413,0.0525,0.635,0.00142,0.383,0.234,129.018,4,Top Lists
7L87B1YWTT11I0mSAEYEOF,Song Goes Off,Trey Songz,69,0.678,0.462,0,-7.842,0.0628,0.0811,0.0,0.11,0.123,129.866,4,Top Lists
2yajAy8Va9VTk3yhF9B3ET,No vaya a ser,Pablo Alborán,82,0.731,0.687,1,-7.399,0.0586,0.232,2.3e-05,0.265,0.577,99.995,4,Top Lists
2XdgSB4TtzUHQYCMfSHbFI,High End,Chris Brown,36,0.725,0.503,10,-5.646,0.209,0.0144,2e-06,0.124,0.0636,153.047,4,Top Lists
1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,ZAYN,99,0.258,0.437,11,-6.593,0.039,0.101,1e-06,0.106,0.0967,180.043,4,Top Lists
3N6wNh5vk9Hshfvr9YIiUL,American Attraction,Anti-Flag,58,0.591,0.905,0,-3.884,0.0502,8.8e-05,3e-06,0.13,0.654,120.001,4,Top Lists
2XlHu0HcujBCkWMdIAvrqt,Blem,Drake,74,0.724,0.548,7,-8.062,0.0497,0.0521,7e-06,0.104,0.39,98.017,4,Top Lists
2j0FtLNpLPaSX9rKuIdBFH,Breakfast In Bed,Ella Mai,65,0.72,0.53,5,-7.19,0.245,0.00366,0.000171,0.126,0.166,97.994,3,Top Lists
3sbF8yG9zzFftk9xN5PNiq,Skrt Skrt,Tory Lanez,73,0.574,0.631,0,-8.469,0.119,0.0172,1e-06,0.133,0.258,95.672,4,Top Lists
5RCfvwDewu6p2x1mEI6smX,The Race,Tay-K,88,0.788,0.533,9,-7.594,0.352,0.0168,0.0,0.204,0.467,80.04,4,Top Lists
4pYZLpX23Vx8rwDpJCpPTA,New Freezer (feat. Kendrick Lamar),Rich The Kid,79,0.888,0.664,0,-10.13,0.341,0.0424,0.0,0.0734,0.53,140.012,4,Top Lists
5H4YGepZNnPhnOHA9vZSEP,Whole Lot in Love,Austin Burke,73,0.791,0.715,7,-5.809,0.0377,0.353,0.0,0.115,0.572,112.027,4,Top Lists
2ZE3DJuizYTad2S4CvRRhK,Easy Love,Lauv,79,0.745,0.481,2,-8.291,0.054,0.302,4e-06,0.0808,0.229,137.001,4,Top Lists
0kdiUZDcLIFw0Buo9r0Q4z,Greatest Love Story,LANCO,80,0.665,0.621,10,-8.571,0.0524,0.38,0.0,0.119,0.632,147.975,4,Top Lists
2XLFuIUMIUjznzvdY9WNkN,All Mine (feat. MadeinTYO),KYLE,70,0.784,0.663,7,-5.088,0.0537,0.0428,0.0,0.0457,0.392,144.003,4,Top Lists
5OwOWdY2hsSAtSERkxUwoc,I Could Use a Love Song,Maren Morris,26,0.638,0.634,6,-6.474,0.0468,0.214,0.0,0.0866,0.445,92.097,4,Top Lists
5hEM0JchdVzQ5PwvSfITeX,Me Llamas (feat. Maluma) - Remix,Piso 21,87,0.76,0.838,7,-3.828,0.0529,0.547,1e-06,0.0664,0.74,93.05,4,Top Lists
2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),Macklemore,87,0.712,0.51,8,-8.162,0.0633,0.446,2.5e-05,0.112,0.268,122.964,4,Top Lists
0UfYmrq68ojmGGhBdLMG4M,American Dreamer,Kyd the Band,61,0.757,0.557,4,-6.557,0.0399,0.0529,0.0,0.241,0.526,125.965,4,Top Lists
1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,Luke Combs,81,0.551,0.801,6,-5.069,0.0303,0.013,6e-06,0.265,0.626,128.027,4,Top Lists
3CmwXf9bED0H0bWXbxAJEF,Three Chords & The Truth,Chase Rice,73,0.44,0.889,8,-4.723,0.0462,0.0275,0.0,0.143,0.409,166.074,4,Top Lists
1VkXyQxtEZn3fdN3Wat3OE,Cowboy Killer,COMMAND,43,0.49,0.624,7,-7.86,0.0259,0.372,0.0279,0.372,0.384,94.053,4,Top Lists
7uoMPWQIGU8wwrPrc94x1m,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),A Boogie Wit da Hoodie,79,0.611,0.478,0,-5.839,0.107,0.035,0.0,0.107,0.138,172.076,4,Top Lists
7JuD5r43XpRLSrUBRBQ7Dy,Highway Tune,Greta Van Fleet,68,0.578,0.953,4,-3.215,0.0447,0.00595,0.264,0.132,0.504,123.976,4,Top Lists
42jG6qZg93rsTuuO4eodx6,Wishlist,Kiiara,34,0.626,0.585,0,-6.44,0.042,0.137,0.0,0.104,0.188,124.978,4,Top Lists
7B109wzCWzXI5LFvjXWie1,Vertigo (feat. Caroline Pennell),DOLF,22,0.672,0.7,8,-6.138,0.0558,0.145,9e-06,0.0886,0.333,105.078,4,Top Lists
3GR9qJsX4uPflm7NFM8Ms3,q.e.p.d,Dj Python,42,0.791,0.627,4,-10.84,0.117,0.0269,0.0843,0.0939,0.293,114.009,4,Top Lists
3tA2Khh4RpQThUoX22PQAG,Legendary,Welshly Arms,49,0.534,0.615,11,-5.411,0.0389,0.0557,2e-06,0.0992,0.403,141.915,4,Top Lists
1hfoihnGAryxcax3xUfhKv,For You,SoMo,61,0.839,0.465,1,-6.798,0.0664,0.327,0.0,0.111,0.56,106.957,4,Top Lists
1LbwMX3159t6QxG3u7DRWe,I Only Lie When I Love You,Royal Blood,70,0.65,0.886,11,-4.821,0.0483,0.00111,0.000129,0.334,0.891,124.013,4,Top Lists
48yAM9xWBwT4Ac9G1y20rw,Explícale,Yandel,86,0.808,0.69,1,-4.151,0.148,0.0583,0.0,0.103,0.653,125.086,4,Top Lists
6Zosz8w6CmdGMZM6p4JlbQ,Me Rehúso,Danny Ocean,56,0.746,0.794,1,-6.331,0.0698,0.0258,0.0,0.0497,0.471,104.827,4,Top Lists
4m5A5meIueOcDBpbqGvkQB,Me Enamoré,Shakira,41,0.711,0.875,5,-2.211,0.104,0.211,0.000198,0.0862,0.929,103.637,4,Top Lists
1Uq2x4ZV85B4LDk2BkC4YW,playboy shit (feat. lil aaron),blackbear,50,0.635,0.73,11,-4.965,0.205,0.0801,0.0,0.111,0.882,154.836,4,Top Lists
599HcyarRglPN3kvTHboQC,Think About Me,dvsn,74,0.548,0.29,7,-10.366,0.0443,0.0653,0.846,0.0957,0.111,105.019,4,Top Lists
4KY6DjFGardfeUJZz1sEb4,House Party,The Knocks,27,0.779,0.847,7,-4.963,0.07,0.00152,0.000228,0.284,0.696,114.95,4,Top Lists
2vRr4CGDtelOW4KASbxop5,Where Promises Fade,Raz Nitzan,47,0.501,0.886,1,-3.117,0.0399,0.000144,0.000458,0.191,0.0383,127.991,4,Top Lists
43ZyHQITOjhciSUUNPVRHc,Gucci Gang,Lil Pump,80,0.936,0.523,5,-6.71,0.0597,0.239,0.0,0.117,0.699,119.889,4,Top Lists
5eqK0tbzUPo2SoeZsov04s,Bank Account,21 Savage,90,0.884,0.346,8,-8.228,0.351,0.0151,7e-06,0.0871,0.378,75.016,4,Top Lists
2DrFBNqxtpyvFlG3qMZiya,For What Its Worth,Liam Gallagher,73,0.489,0.835,0,-4.448,0.0332,0.00746,0.0,0.146,0.444,145.885,4,Top Lists
1ITz79C3v1z55dqPoSAl1O,Love in a Bar,Ryan Hurd,74,0.512,0.587,1,-6.403,0.0291,0.0179,0.0,0.107,0.313,134.006,4,Top Lists
5vFshmrfuOng89bVtW33J9,The Sky Is A Neighborhood,Foo Fighters,74,0.358,0.549,11,-7.843,0.0693,0.000799,0.00503,0.22,0.532,130.733,4,Top Lists
6tNQw4RAj7oYogHXVzKJg8,Feels Like Summer,Weezer,72,0.468,0.939,11,-1.976,0.112,0.0139,9.2e-05,0.833,0.695,176.075,4,Top Lists
6eUncuJutsFi9BGO1JaBHh,If Im Lucky,Jason Derulo,89,0.897,0.634,4,-6.264,0.161,0.00413,0.0,0.0686,0.506,112.048,4,Top Lists
6R6ihJhRbgu7JxJKIbW57w,Provider,Frank Ocean,80,0.654,0.325,2,-11.925,0.282,0.74,2.1e-05,0.152,0.39,139.886,4,Top Lists
3VClLWqNn80Llv0PJOsKgr,Báilame - Remix,Nacho,89,0.791,0.866,6,-4.236,0.0497,0.248,5e-06,0.0696,0.723,96.011,4,Top Lists
1mU8A0bKStnhYuS043o6Je,Go To War,Nothing More,67,0.461,0.892,6,-4.807,0.0901,0.00187,1e-06,0.0942,0.349,137.35,4,Top Lists
3nUNwSYEUv9bmUc3de0Owv,Qué Me Has Hecho,Chayanne,78,0.745,0.874,11,-3.295,0.0377,0.179,0.0,0.309,0.531,95.028,4,Top Lists
3UZ9aPaYlBBlAvpdh3kK0U,Hurricane,Luke Combs,25,0.443,0.804,10,-6.432,0.0406,0.0165,3e-06,0.181,0.437,151.928,4,Top Lists
34VR2FNXSRWlIzwAjlnTpE,Do You Wanna,Yizzy,46,0.62,0.862,0,-7.317,0.141,0.112,0.0,0.199,0.749,140.121,4,Top Lists
46KLphXAewBLAT8AmQToZ6,Choral Droplet,Robert Qoe,41,0.632,0.897,11,-8.934,0.0383,0.00122,0.764,0.709,0.789,120.012,4,Top Lists
0gCPvo1GkbtPhMqg5Gbx1K,Vuelve,Daddy Yankee,74,0.728,0.541,1,-5.664,0.0318,0.17,0.0,0.118,0.206,130.025,4,Top Lists
7FESgYLcOufHqKlwrvJN60,Feel It Still,Portugal. The Man,90,0.78,0.798,1,-5.151,0.0613,0.0406,6.3e-05,0.0733,0.771,78.969,4,Top Lists
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),J Balvin,56,0.749,0.717,11,-6.358,0.0797,0.0227,0.0,0.263,0.4,104.967,4,Top Lists
3LhzpgimYSZhTx5KuchwVX,Up Down (Feat. Florida Georgia Line),Morgan Wallen,13,0.59,0.881,6,-2.898,0.0349,0.0913,0.0,0.157,0.734,129.928,4,Top Lists
39mypRmMWQJpVdCsWNxT3h,Golden Dandelions,Barns Courtney,63,0.473,0.926,0,-6.002,0.0929,0.0269,0.0,0.104,0.379,139.477,4,Top Lists
5Feu0AyHLrW0mCRAyUnZ6W,Losing Sleep,Chris Young,79,0.587,0.628,1,-5.703,0.0431,0.0677,2e-06,0.122,0.65,92.003,4,Top Lists
3qP5nPy0qh7iodfLMBsfbr,More Girls Like You,Kip Moore,65,0.553,0.743,2,-5.483,0.0368,0.01,0.0,0.0812,0.574,149.962,4,Top Lists
5tVA6TkbaAH9QMITTQRrNv,Free Fallin,Tom Petty,77,0.63,0.449,5,-13.243,0.0252,0.219,0.0,0.0622,0.596,84.378,4,Top Lists
0tqh0OwKaRRo4LAFpbAkPc,Cigarette Dreams,Best Girl Athlete,43,0.354,0.439,2,-8.926,0.0289,0.0919,1.6e-05,0.0933,0.182,139.974,4,Top Lists
4Ic9GYN5h6oFruCIBlT3wB,While Were Young,Jhene Aiko,62,0.623,0.784,2,-6.073,0.227,0.143,1e-06,0.102,0.813,128.087,4,Top Lists
0Is6MRHWKe7y2xIxDkvO6l,"Speakers, Bleachers And Preachers",Brandon Lay,74,0.603,0.625,6,-6.563,0.0258,0.302,0.0,0.141,0.64,96.02,4,Top Lists
7rdUtXasA973gmrr2Xxh3E,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,85,0.615,0.547,0,-5.086,0.152,0.254,0.0,0.171,0.167,106.688,4,Top Lists
4iyH6JZBZjk3htdJdZ6r51,Ruin The Friendship,Demi Lovato,69,0.772,0.459,8,-6.816,0.335,0.138,3.9e-05,0.105,0.537,78.019,4,Top Lists
5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,86,0.667,0.726,8,-4.172,0.054,0.032,0.0,0.0745,0.77,103.001,4,Top Lists
17HlhTU351nr8MncIGppDk,Enormous (feat. Ty Dolla $ign),Gucci Mane,0,0.844,0.486,3,-6.915,0.368,0.234,0.0,0.0976,0.493,142.606,4,Top Lists
2Tax5xK7RwwpnZOss6HmvD,Drop It,CamelPhat,43,0.802,0.971,2,-5.54,0.0524,3.7e-05,0.753,0.132,0.408,125.0,4,Top Lists
4oeGQb7zAVNRkpjjoNHK5K,Getting Over You,Jackie Lee,65,0.442,0.784,2,-4.001,0.0344,0.0527,0.0,0.0597,0.554,170.139,4,Top Lists
0AICBlLzFCTpUqmAbtzB2z,Love Scars,Trippie Redd,80,0.66,0.603,9,-7.366,0.0661,0.000481,0.0,0.128,0.23,119.412,4,Top Lists
6jKDgvE2pnYWRnj7xZV8zc,Exhale,ZHU,61,0.751,0.644,8,-9.235,0.124,0.0713,0.0807,0.0801,0.239,139.985,4,Top Lists
2tvIosGH6YKpGm1h0hKGk9,Last Night,Days,27,0.78,0.558,10,-8.453,0.343,0.244,0.000186,0.126,0.299,93.02,4,Top Lists
1Ot2Go1a9Qryw4DfV9DsNL,Sign Of The Times - Spotify Studios NYC,LANY,44,0.614,0.393,5,-9.695,0.0444,0.0565,0.0187,0.0996,0.115,124.008,4,Top Lists
6GrirzmQKh0mlMh3wizsff,Medication,Nick Murphy,36,0.401,0.496,10,-9.146,0.0555,0.25,0.0137,0.128,0.101,139.679,4,Top Lists
0iALOYqXaVoluUIsSyDAny,On Hold (Jamie xx Remix),The xx,73,0.759,0.909,0,-7.85,0.0373,0.302,0.842,0.0998,0.47,128.189,4,Top Lists
2E2r97GUoaRP3jCVX3nLa5,Passion,AWOLNATION,38,0.646,0.857,10,-5.2,0.0582,0.0649,0.0896,0.12,0.77,138.004,4,Top Lists
5Pe8a5Dq92ifYzmpTIak9M,Coming Down (triple j Like A Version),Bon Iver,56,0.424,0.324,0,-9.474,0.0368,0.723,0.00649,0.125,0.224,134.575,4,Top Lists
0rlFL6bxIWcCn9gk9GExFA,Love U Better (feat. Lil Wayne & The-Dream),Ty Dolla $ign,81,0.482,0.477,10,-8.444,0.0503,0.0201,0.0,0.251,0.379,117.85,5,Top Lists
4xfaNZmFfshBNX5ZI0pRKo,Love Me,Beau Collins,53,0.703,0.94,11,-3.239,0.0866,0.029,0.379,0.213,0.252,123.009,4,Top Lists
4N1c5rmWOzRmB9SMacr5wB,Loco Enamorado,Abraham Mateo,88,0.69,0.872,11,-2.984,0.0588,0.226,0.0,0.0858,0.72,94.0,4,Top Lists
1reOQ0oAVQFhw4y3TKpcIP,"mmm, mint",Various Artists,14,0.568,0.849,11,-5.394,0.161,0.0259,7.5e-05,0.857,0.672,86.078,3,Top Lists
1HrMWH5GUdK6Yi94rbANJA,Cola - Radio Edit,CamelPhat,78,0.706,0.74,6,-7.904,0.0325,0.0245,0.512,0.135,0.423,122.007,3,Top Lists
18c39avnbmFvihzjBJFnFi,Milk,The 1975,43,0.447,0.983,10,-5.357,0.284,0.00366,0.0374,0.363,0.134,143.078,4,Top Lists
2uSLx5uwRIhiA3sJJraNqX,Help Me Out (with Julia Michaels),Maroon 5,77,0.938,0.549,11,-4.884,0.067,0.479,3.9e-05,0.101,0.52,115.036,4,Top Lists
3PBXTtPiOqfYcbc30ydVTz,Freeze Me,Death From Above 1979,63,0.495,0.747,0,-5.302,0.0328,0.000735,0.000356,0.192,0.469,130.04,4,Top Lists
7fwXWKdDNI5IutOMc5OKYw,Mi Gente (feat. Beyoncé),J Balvin,91,0.705,0.714,11,-6.39,0.0792,0.0249,0.0,0.253,0.434,104.996,4,Top Lists
5WrMdl6kxTonPziQmCeF7b,You’re The Best Thing About Me,U2,63,0.655,0.785,2,-6.596,0.0362,0.00233,0.0,0.309,0.832,117.01,4,Top Lists
3205YaV6srWWF1WmebkLdA,Love You Like That,Dagny,32,0.617,0.703,8,-5.926,0.0472,0.00486,1e-05,0.136,0.222,93.987,4,Top Lists
79B7naQYN34s6lITPdToMQ,Jetlag,Mike Williams,62,0.659,0.946,1,-3.071,0.0504,0.0128,0.794,0.148,0.466,128.019,4,Top Lists
7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,88,0.615,0.779,2,-6.454,0.135,0.0665,0.0,0.155,0.453,160.0,4,Top Lists
5bCqP8qJkx52Ntoe9VvxSe,Kung Fu,Dasoul,70,0.82,0.809,1,-4.345,0.0652,0.147,2.2e-05,0.0913,0.559,105.001,4,Top Lists
3IPkbTA8KkdDXyWtGkfFXa,Singles You Up,Jordan Davis,77,0.489,0.9,7,-3.563,0.0488,0.0441,0.0,0.247,0.593,200.054,4,Top Lists
54EWDYWhs4w6SODnxabuoh,Stay Downtown,Cole Swindell,72,0.336,0.758,5,-4.187,0.0451,0.00275,0.0,0.189,0.255,77.807,4,Top Lists
5oAgI7Pzg6vxuKrfapg3Pi,Pizza,Martin Garrix,78,0.381,0.712,5,-6.9,0.0355,0.000408,0.589,0.183,0.0381,127.967,4,Top Lists
5kflnIKOUU6aLXkVXmJ6iK,Personal,The Vamps,39,0.522,0.697,0,-3.494,0.102,0.0658,0.0,0.1,0.447,100.001,4,Top Lists
4YkwUfWSIxdKNLDXw0caFO,Pills & Automobiles,Chris Brown,84,0.82,0.696,7,-4.918,0.182,0.119,0.0,0.231,0.622,144.981,4,Top Lists
6uZfXF99N7F5qT9YmtSlkc,Poking Holes,Emily Warren,17,0.615,0.462,0,-6.473,0.103,0.0102,3e-06,0.0819,0.364,92.957,4,Top Lists
44QUdMWKzPIPHU2Adz27Mp,Gold Water,Adria,15,0.698,0.512,10,-9.674,0.0611,0.28,0.0721,0.0812,0.314,125.053,4,Top Lists
7MRyJPksH3G2cXHN8UKYzP,American Girl,Tom Petty and the Heartbreakers,76,0.55,0.824,2,-5.988,0.0334,0.448,0.000127,0.366,0.763,114.512,4,Top Lists
3vGmmVqWM33agHxB19EcAi,Good Old Days (feat. Kesha),Macklemore,77,0.712,0.51,8,-8.162,0.0633,0.446,2.5e-05,0.112,0.268,122.964,4,Top Lists
75hnKwGxK2FSAyBVGBDEMG,To Me,Davichi,24,0.703,0.411,9,-6.895,0.0374,0.769,0.0,0.129,0.515,101.006,4,Top Lists
6Z884oSfliz0mKqTJTXrwb,Up All Night,Beck,68,0.653,0.941,1,-2.709,0.0583,0.00556,0.0788,0.277,0.688,110.019,4,Top Lists
